,business_id,attributes.RestaurantsDelivery,attributes.Open24Hours,attributes.CoatCheck,attributes.DogsAllowed,postal_code,attributes.Smoking,attributes.DietaryRestrictions,attributes.GoodForKids,stars,latitude,attributes.Alcohol,attributes.RestaurantsPriceRange2,attributes.RestaurantsTableService,attributes.RestaurantsCounterService,attributes.Corkage,attributes.RestaurantsGoodForGroups,categories,name,attributes.HappyHour,attributes.WheelchairAccessible,attributes.Caters,attributes.BYOBCorkage,attributes.BYOB,is_open,neighborhood,attributes.Ambience,longitude,attributes.BestNights,review_count,attributes.BusinessAcceptsCreditCards,attributes.DriveThru,attributes.HasTV,attributes.Music,hours,attributes.BusinessParking,attributes.WiFi,attributes.RestaurantsAttire,hours.Sunday,hours.Saturday,hours.Friday,attributes.RestaurantsReservations,attributes.RestaurantsTakeOut,attributes.BikeParking,attributes.OutdoorSeating,city,state
2,tZnSodhPwNr4bzrwJ1CSbw,False,,,False,M6G 2L7,,,False,4.0,43.664124900000004,full_bar,2.0,True,,,True,"Cajun/Creole, Southern, Restaurants",Southern Accent Restaurant,,False,True,,,0,Palmerston,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.41188609999998,,146,True,,False,,"{'Tuesday': '17:0-1:0', 'Friday': '17:0-1:0', 'Wednesday': '17:0-1:0', 'Thursday': '17:0-1:0', 'Sunday': '17:0-1:0', 'Saturday': '17:0-1:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,17:0-1:0,17:0-1:0,17:0-1:0,True,True,True,True,Toronto,ON
5,YIez_A3WOt9J2SXN7OMa2Q,False,,,,M3A 1K8,,,True,4.0,43.7459284,none,1.0,False,,,False,"Caribbean, Food, Bakeries, Restaurants",Allwyn's Bakery,,,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.3246225,,105,False,,False,,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Friday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Sunday': '12:0-21:30', 'Saturday': '11:30-22:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",no,casual,12:0-21:30,11:30-22:0,11:30-22:0,False,True,True,False,Toronto,ON
6,j7yI3qYRsbGBUv9rShLCaQ,False,,,False,L4L 0B2,,,True,3.0,43.7767190083,full_bar,2.0,True,,,True,"Restaurants, Food, Italian, Ice Cream & Frozen Yogurt",Ice Cream Patio,,True,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.6036142656,,28,True,,True,,"{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Friday': '11:30-23:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-22:0', 'Sunday': '11:30-22:0', 'Saturday': '11:30-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",no,casual,11:30-22:0,11:30-23:0,11:30-23:0,True,True,True,True,Woodbridge,ON
8,DqZzBPoiGt_FCTfNwPYwzw,True,,,,L3T 1S9,,,True,4.5,43.80993930859999,,1.0,False,,,False,"Restaurants, Pizza",Regino's Pizza,,,,,,1,Langstaff,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.4112146813,,23,True,,False,,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Friday': '11:0-0:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Sunday': '11:0-23:0', 'Saturday': '11:0-0:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,casual,11:0-23:0,11:0-0:0,11:0-0:0,False,True,True,False,Thornhill,ON
9,cuXCQM-9VwpZlSneEY1b3w,True,,False,,M4G 3C1,no,,True,3.5,43.708002,full_bar,2.0,True,,,True,"Nightlife, Wine Bars, Indian, Restaurants, Bars",Indian Street Food Company,False,,True,,,1,Mount Pleasant and Davisville,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",-79.375814,,51,,,False,"{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Friday': '17:30-22:30', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Sunday': '17:30-22:30', 'Saturday': '17:30-22:30'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,casual,17:30-22:30,17:30-22:30,17:30-22:30,True,True,True,False,Toronto,ON
14,_T8qy9XAKAFLJdmoLg1Q-g,False,,,,M2N,,,True,4.0,43.7729924508,none,1.0,False,,,True,"Mexican, Restaurants",Burrito Boyz,,,True,,,1,Willowdale,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.4140518612,,121,True,,False,,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Friday': '11:0-1:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-0:0', 'Sunday': '12:0-23:0', 'Saturday': '11:0-1:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,12:0-23:0,11:0-1:0,11:0-1:0,False,True,True,False,Toronto,ON
15,FI6XxleZ6Z1xJ9BS4zLKgQ,,,,,M2N 7A1,,,,3.5,43.7743736325,,1.0,True,,,True,"Asian Fusion, Taiwanese, Restaurants",Chan Yang,,,,,,1,Willowdale,,-79.41404281310001,,3,,,True,,"{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Friday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Sunday': '11:30-22:30', 'Saturday': '11:30-22:30'}",,,,11:30-22:30,11:30-22:30,11:30-22:30,,,,False,Toronto,ON
18,AoItX6upESFG_EowRa05eg,False,,,,M6G 1K8,,,True,4.5,43.664344799999995,none,1.0,True,,,True,"Coffee & Tea, Grocery, Latin American, Restaurants, Food",Ave Maria Latin Café,,,True,,,1,Koreatown,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.41439129999998,,27,True,,False,,"{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Friday': '10:0-21:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Sunday': '11:0-19:0', 'Saturday': '10:0-21:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:0-19:0,10:0-21:0,10:0-21:0,False,True,True,False,Toronto,ON
22,xxGO2bwU02mip8W_lYjtYA,,,,,L3Y 4V8,,,,2.0,44.0715414,,,,,,,"American (Traditional), Restaurants, Canadian (New), Comfort Food",Swiss Chalet Rotisserie & Grill,,,,,,0,,,-79.481693,,5,,,,,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Friday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Sunday': '11:0-21:30', 'Saturday': '11:30-22:0'}",,,,11:0-21:30,11:30-22:0,11:30-22:0,,,,,East Gwillimbury,ON
23,ZP_1K8uC-YGbdPQ0KfNJog,False,,False,False,M6H 1A4,no,,True,4.0,43.6537193,full_bar,2.0,True,,,True,"Brewpubs, Gastropubs, Nightlife, Food, Bars, Breweries, Restaurants",Folly Brewpub,False,False,False,,,1,Dufferin Grove,,-79.4258332,,24,True,,True,,"{'Monday': '16:0-0:0', 'Tuesday': '16:0-0:0', 'Friday': '16:0-2:0', 'Wednesday': '16:0-0:0', 'Thursday': '16:0-0:0', 'Sunday': '11:0-19:0', 'Saturday': '16:0-2:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:0-19:0,16:0-2:0,16:0-2:0,True,False,True,False,Toronto,ON
