,yelping_since,review_count,average_stars,user_id,name
8,2012-09-11,3,3.67,14_AqfABIEkf_3YwdN58Hw,Jose
71,2011-08-01,26,4.0,pxNqVoIR6jmq9iRofZlWHg,Amy
92,2017-01-14,2,3.0,7RBvGETloU_58n1jA1_wzA,Melissa
116,2013-05-10,2,1.0,3NPRUfVRsNko_bmJXA1BlQ,Peter
117,2011-02-27,8,3.88,6o4vSlxjxRngLrVN8hUWTg,Mike
125,2013-04-17,6,3.43,5Mzk_ch99B3OSZs_2nBoIg,Annabelle
137,2015-07-21,3,3.67,OSjuBjf72NMCoMm6HTd2Hw,Nicholas
138,2015-04-16,3,3.33,RiMVSvG5DECaIjbzcrQA1g,Kels
160,2014-07-10,17,3.41,MntgJZr75mGyZlgPx2Incw,Kam Tung
172,2012-05-02,52,3.35,M3q6GbQzbWpjZl87Gq2gpQ,Mo
185,2012-04-26,9,4.2,DP-UwXtjVXCPpHpLLlib9w,Karen
189,2014-02-23,1,5.0,XaMhSbMmsrHFAQGv3hYbEQ,Jessica
232,2012-01-29,11,2.82,qscWQVKaHrbJo6_vw3iU1A,N
237,2015-11-14,7,2.75,UO9sBUjbv1hulh5ySDZ6iQ,Jony
250,2013-09-16,17,3.33,llw74a2gSjyjHhNSPSTP9A,Ernie
289,2013-12-24,12,3.79,ehtKohb2okUybzeyH5eEaA,Greenwood
296,2017-06-13,1,1.0,G0xRapqo98RJ_V8ncs6pLA,Rachel
327,2012-06-29,1,1.0,REH0q1EHXqzgYNlXx7RMwA,Rachna
349,2016-08-09,1,3.0,Dsc9L1lTuEt5DCnNSU_UHw,Joseph
356,2011-07-10,4,1.25,7HE8d_ui27xTnhBRvdwysA,Jane
370,2012-06-03,15,3.73,0k1drdjSpeO9VEyArR8-mA,Joey
371,2011-10-10,87,3.88,wOWT8bL1qKKp9pm71F8_-w,Behrouz
377,2013-07-04,5,4.8,CL9B6YaBVAezHjHgyCZtOw,Brian
393,2012-05-26,19,3.26,Sg4oa17kcpfFmKGkpJzYjA,Tris
407,2016-04-03,4,3.5,t0Y-nUyjbKs_htlqMJrbGQ,Celine
419,2015-03-07,3,1.0,_JNEteui5zgxUE1qHUqB_A,Justin
463,2016-05-06,2,1.5,Dlg7p8dF8Wvyc1ZRtywXeQ,Jc
467,2015-04-18,7,4.14,PItldUq3yZvzwGOnAcbnHA,Bashir
485,2014-12-16,42,3.43,FNyEz_Tx1EBFqIn0s-7kVw,Emily
496,2016-03-15,2,3.0,WlAri8Jjb-ngMfnDus226Q,Chrissy
513,2017-08-24,1,1.0,HbXuZ9oCeuQwfIsQ_jXoag,V
531,2011-07-26,13,4.46,jdf15x7YE69Dd2a3o0hAag,Heather
546,2013-01-02,110,3.75,J2Aii7GdFK7Caxem6pk7rQ,Alison
547,2014-11-20,25,3.93,Wzsduf0vEmr-Ih1H0Stvww,Joanne
550,2015-03-19,71,3.62,K1Tc6gxpUvg7IekgL9UfVQ,Samm
573,2016-03-31,2,5.0,hSThaSbW0W-OK7-gyO4Wag,Robert
583,2012-07-30,7,3.71,-p83z24Y_4qDO4S28Gz1OQ,Sharon
590,2014-05-02,1,1.0,lJmgTEBq4pDJpYFASeSXSw,Tia
618,2014-12-02,6,3.0,4j018YAs2LZEvUkn_z9eUw,Wanda
630,2014-07-19,7,2.57,7-bhKIZNeAiCV8FTidXDZg,C
690,2015-11-29,1,1.0,JNt3BrFmOFL-r0apADxMyA,Kanthini
692,2011-07-13,2,1.0,-DW2EERxFaGWBtcC_Yb7ug,Sondra
700,2012-10-07,143,4.0,uvnEFgR4Y4xg0Ad5GnLreg,Dale
711,2010-11-17,106,3.38,YHWsLBS8jzZiPjKHMFOaAA,TOFoodReviews
717,2011-11-01,16,3.63,h0LSmnghYEUBa-iMuJ8XNw,Monica
723,2007-08-09,136,3.62,F7sNNrk6LwlDzQTwjX9V7Q,Debbi
733,2012-11-07,19,3.74,CuBczTRSFqsDOTv6FOZbjA,Sunny
740,2013-03-03,2,3.0,0NGRFKulbXxMwoyHCBTBpg,D
741,2011-11-28,81,3.62,4faAjxsQc0wBmgqp7PJUPQ,Jennifer
773,2013-03-22,16,4.06,UMRPnn-PmNn8noRrfBAC4g,Craig
780,2015-11-28,12,4.33,SN0_u-Aqv-YlVlp6HzmpyA,Rachel
794,2011-11-24,6,4.83,xaDosW8Dh5p29xmf35WJ4g,Jaimmie
795,2010-02-16,109,3.63,YgavGxfAdjhkkbwlAY_9ZQ,Michelle
815,2010-11-26,47,3.8,apHoJwu53UA3u09R86O3ZQ,Nick
850,2013-06-17,14,3.2,r_cAu_Zbif-T9Tp5uvVtXA,Kelli
861,2010-11-30,44,3.59,95KCaXFJEGla4AK7ETBmWw,Luiz
874,2015-03-18,187,3.79,u4iBXHU_ZCUIXymxkcsHdA,Jessica
878,2011-12-08,58,4.1,1YhObU_XJk00GvtOzjPPrA,Jim
911,2016-07-22,8,2.5,FH-HjpBNL-vWT0-09RVRmA,Ruina
917,2014-08-11,8,4.0,zOYQxOolPr4lqS8aNcQgew,Anita
